,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
63,1967,270.20566503086746,4.9985566477764785,0.9267840593141798,0.45579543900697367,5.520552357180241,6.3559322033898304,3.6635935424131407,10.019525745802971,4.5,16.88041235556987,5.634284794073835,1.3887334433753373,,2.681693103587101,26.585123696606143,8.932525463988084,4.951890172712267,13.88441563670035,0.2566528443174041,5.505455131043923,0.3371713837110995,6.099279359072427,0.8655742984822256,580.3625347236201
64,1968,269.59011830550804,4.633924944458097,0.9378181435212815,0.6218687154900476,5.844369376102359,6.541907068049785,3.9560351957589712,10.497942263808756,4.6,17.33596155570835,5.827090370990404,1.4717945651848976,,2.8060895040506963,27.44093599593435,8.75908044602553,4.723326656901139,13.482407102926668,0.24912060426693772,5.684932189371519,0.33382160971769653,6.267874403356153,1.1110778950305422,581.1485456339124
65,1969,267.5670978474067,4.310152196042407,0.9434664945254115,0.8391886188147082,5.639515090513477,6.660844595094658,4.188931156470641,10.8497757515653,4.8,16.99627732796519,6.116764605752009,1.5156825885522285,,2.6046714723426945,27.23339599461212,7.844994745333708,4.879685410776753,12.724680156110463,0.21709419421049256,5.708590515944088,0.30097149651909194,6.226656206673673,1.139744519605086,573.2964273203175
66,1970,269.4083849713703,3.956192642560201,1.088320652600204,0.8284963526551102,5.365702358426156,6.995293876675184,4.372208025281392,11.367501901956576,5.064964009129391,16.716706006281335,6.2910066714784545,1.43047617189786,,2.4068060784581498,26.8449949281158,7.013601427930476,4.954840723328717,11.968442151259193,0.2097029046290697,5.314653603405439,0.2487173985135478,5.773073906548056,1.4337826502545696,563.9106177945107
67,1971,269.71817025823515,3.698743394237696,1.1893998365783964,1.0878657041875577,5.14598311671426,7.322068178425415,4.709300253778996,12.03136843220441,5.243589311425834,16.595766658159214,6.234309764471904,1.4108860113357828,,2.3373334424855905,26.57829587645249,6.733975084392351,5.003346800795527,11.737321885187878,0.15409730281564665,5.253210247477036,0.2648547392143927,5.672162289507075,1.5361574874434776,557.9285470069007
68,1972,267.5789835821181,3.516752355650695,1.261443779744271,1.2901129565566407,4.951437854937684,7.6765969813621995,5.329687083126881,13.00628406448908,5.312592903152038,16.459937302283038,6.234644776460724,1.4297652170598774,,2.3589463353279747,26.483293631131612,6.279567023668865,4.668978922895148,10.948545946564014,0.11434234096886077,4.588280613473401,0.22868468193772154,4.931307636379984,1.7961276060525213,559.6152380226398
69,1973,262.7071731714587,3.6762444584281573,1.2869221270173214,1.3720860913052324,4.8072946406240415,7.8312624758740785,5.659655795648133,13.490918271522212,5.125888942895299,16.42937770458074,6.194361730742914,1.507184687766919,,2.345503022523811,26.476427145614387,5.910754144467672,4.218792028653809,10.129546173121481,0.09909914161267337,5.257122150642079,0.18404126299496482,5.540262555249718,1.8120985894888844,554.7947468016932
70,1974,254.0474918206448,3.4920456356460523,1.4530659691950016,1.4530659691950016,4.460407567779887,8.466533242305497,5.939379202633573,14.40591244493907,4.571450615840714,16.454541416106313,6.23065268828266,1.4009183835700991,,2.1766981211480747,26.262810609107145,5.5024268893731225,3.4228959944635124,8.925322883836635,0.07014131136195721,4.139961594049054,0.20574784666174117,4.415850752072752,2.118267603131108,534.9864861073443
71,1975,254.3475738519017,3.434432506439561,1.6243937530457382,1.9724781286983966,4.728192875961347,8.14722210646701,6.126409319683478,14.273631426150487,4.5884670769031315,18.20505340945396,6.5022016640969005,1.3487797085746829,,1.980933727827086,28.03696850995263,5.1885281956540865,3.523588596722738,8.712116792376825,0.07408333449088543,3.2624550455154964,0.20372916984993494,3.540267549856317,2.208609409509522,539.1322063406074
72,1976,252.96121123536633,3.461066449718013,1.6087294254997404,2.1373119510210836,4.31320200885179,8.883105923360928,6.627871671979269,15.510977595340197,4.632141628637604,17.638452542023067,6.1691930194693505,1.364459834430252,,1.8027766184328229,26.974882014355494,4.8925677070195155,3.5911665558281927,8.483734262847708,0.15135184718049854,3.511039894079474,0.17428394523814983,3.8366756864981224,2.4170431352764465,539.7206870456578
73,1977,250.14106297779398,3.3991627229705133,1.6563523844193666,2.3434655988350928,4.294180413096682,9.213004962790425,6.781846085389055,15.99485104817948,4.6176426518464035,17.2889451913603,6.574221641035422,1.3562538878218664,,1.7332071068248602,26.952627827042445,4.269371001502913,3.8776056919982387,8.146976693501152,0.15437774417791583,3.311096330844048,0.2588097475923883,3.7242838226143524,2.4064766004204525,540.2131320974033
