,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
85,1989,247.342,1628,6.581979607183575,887,3.5861277098107074,2515,10.168107316994282,74,0.2991808912356171,74,0.2991808912356171,962,3.8893515860630217,99,0.40025551665305525,49,0.19810626581817886,1258,5.08607515100549,74,0.2991808912356171,3847,15.553363359235389
86,1990,250.132,1495,5.976844226248541,897,3.586106535749124,2392,9.562950761997666,100,0.39978891145475187,75,0.2998416835910639,921,3.682055874498265,75,0.2998416835910639,100,0.39978891145475187,1271,5.081317064589896,75,0.2998416835910639,3738,14.944109510178626
87,1991,253.493,1483,5.85026016497497,955,3.767362412374306,2438,9.617622577349277,126,0.49705514550697655,50,0.19724410535991133,905,3.570118307014395,100,0.39448821071982265,50,0.19724410535991133,1231,4.856149873961017,75,0.295866158039867,3744,14.76963860935016
88,1992,256.894,1521,5.92072995087468,989,3.8498368977087827,2510,9.770566848583462,127,0.49436732660163335,51,0.19852546186364803,887,3.4527859739814866,76,0.2958418647379853,25,0.09731640287433728,1166,4.53883703005909,76,0.2958418647379853,3752,14.605245743380538
89,1993,260.255,1616,6.209294730168489,1000,3.8423853528270353,2616,10.051680082995524,103,0.3957656913411846,51,0.19596165299417878,898,3.4504620468386773,77,0.2958636721676817,25,0.09605963382067588,1154,4.434112697162399,77,0.2958636721676817,3847,14.781656452325604
90,1994,263.436,1659,6.29754475470323,1037,3.9364399702394515,2696,10.233984724942681,104,0.394782793543783,52,0.1973913967718915,856,3.2493660699372904,78,0.2960870951578372,77,0.29229110675837777,1167,4.42991846216918,78,0.2960870951578372,3941,14.959990282269699
91,1995,266.557,1647,6.1787910278101865,967,3.6277419088600182,2614,9.806532936670205,130,0.48770056685812035,52,0.19508022674324815,889,3.335121568745146,78,0.2926203401148722,80,0.3001234257588433,1229,4.61064612822023,89,0.33388731115671316,3932,14.751066376047149
92,1996,269.667,1690,6.266988545131589,950,3.522863383357994,2640,9.789851928489583,140,0.5191588143895991,57,0.21137180300147962,837,3.1038280546006747,88,0.32632839761631943,64,0.23732974372095958,1186,4.398016813329032,79,0.29295390240555946,3905,14.480822644224174
93,1997,272.912,1625,5.954300287272088,1012,3.7081550096734484,2637,9.662455296945536,114,0.41771706630708805,54,0.1978659787770417,826,3.0266166383303044,81,0.29679896816556256,97,0.35542592484024155,1172,4.294424576420238,80,0.2931347833733951,3889,14.25001465673917
94,1998,276.115,1561,5.653441500823932,1184,4.288068377306557,2737,9.912536443148687,81,0.2933560291907357,54,0.19557068612715717,915,3.3138366260434964,81,0.2933560291907357,54,0.19557068612715717,1184,4.288068377306557,81,0.2933560291907357,4002,14.49396084964598
