,Unnamed: ,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total.,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
30,35,1939,292.9171760391198,13.027200488997556,0.0,0.0,17.3703330585829,4.266263699361969,1.6561345666575085,5.922398266019477,1.9,10.501373752175107,0.0,0.0,0.0,0.0,10.501373752175107,17.759562841530055,2.9993589156516167,20.75892175718167,0.1,2.1751076105870504,0.0,2.2751076105870505,0.1,823.0607198461398
31,36,1940,292.3291450050775,13.80026372826894,0.0,0.0,16.984302387187597,4.367175792070964,1.6197151117906177,5.986890903861582,1.9,10.83389594465721,0.356159458682127,0.0,0.0,0.0,11.190055403339336,19.30791238400872,3.299980321218268,22.607892705226984,0.4,2.232784850365571,0.1,2.732784850365571,0.1,818.2210381314239
32,37,1941,296.20420519677583,13.333733971349371,0.0,0.0,16.38656092112562,4.385241600575704,1.544204734561701,5.9294463351374045,2.0,13.165237402737592,0.4197688190581851,0.0,0.0,0.0,13.585006221795776,19.519947227178005,4.00293848667936,23.522885713857363,0.2,2.488718310070314,0.1,2.788718310070314,0.1,811.5770378255199
33,38,1942,318.6753285543608,13.933691756272404,0.0,0.0,16.43185525730387,5.042266053685303,1.6239062731721785,6.666172326857481,2.0,15.488462108853623,0.4662835533145484,0.0,0.0,0.0,15.95474566216817,21.21459291116713,4.397152602699095,25.61174551386623,0.2,2.610114192495921,0.2,3.0101141924959216,0.1,850.6599436452617
34,39,1943,353.0485306715334,14.495884390480091,0.0,0.0,13.097945721410865,3.8248049203226575,1.7697950109332377,5.594599931255896,2.1,13.547027548833908,0.3297852112418549,0.0,0.0,0.0,13.876812760075763,22.59779580075911,5.097302159588705,27.69509796034781,0.4,2.2232135674533238,0.2,2.8232135674533234,0.1,783.8656125904095
35,40,1944,375.51266132370097,12.973623810061332,0.0,0.0,13.389018548089917,4.371482040795683,1.6691113246674425,6.040593365463125,2.2,14.465537547779215,0.2715015498890872,0.0,0.0,0.0,14.737039097668305,23.33865618474389,5.90330715261169,29.24196333735558,0.3,2.146000274572426,0.2,2.646000274572426,0.2,811.7083462791824
36,41,1945,384.2437783531224,13.496274937538214,0.0,0.0,11.684580641472758,4.602366931564805,1.7723400606025956,6.3747069921674,2.6,15.34524183865988,0.3769724429706707,0.0,0.0,0.0,15.722214281630553,22.697387227717112,7.696815505116917,30.394202732834028,0.4,3.5089474586930423,0.2,4.108947458693042,0.2,792.6933851695158
37,42,1946,362.02464763591183,12.780784554528967,0.0,0.0,10.679755850879488,4.462864862188713,2.1713146001456973,6.63417946233441,2.5,22.71718804150252,0.4868271223362496,0.0,0.0,0.0,23.20401516383877,18.57287342013877,9.696652497719056,28.269525917857823,0.5,3.4797615090282834,0.2,4.179761509028284,0.2,785.3298347113283
38,43,1947,343.4672280858302,12.450678304030784,0.0,0.0,11.2956718426932,5.182964905707506,1.7068398484659255,6.889804754173431,2.3,19.702229299363054,0.4861995753715498,0.0,0.0,0.0,20.18842887473461,20.75961311630101,6.799605900392712,27.559219016693728,0.5,3.718968125112749,0.1,4.3189681251127485,0.2,769.6182506973065
39,44,1948,327.4489537486396,12.08134544434025,0.0,0.0,10.134282655100218,5.258096855371647,1.7458791115112084,7.003975966882856,2.5,17.69187961617939,0.5942058636986722,0.0,0.0,0.0,18.28608547987806,20.72549460891626,5.1967182928575815,25.922212901773843,0.3,3.662254230005933,0.2,4.162254230005933,0.1,728.6590148058732
40,45,1949,322.84666868462654,11.683987488648976,0.0,0.0,10.597367080462236,5.328846824141352,1.9438560742150848,7.272702898356437,2.7,16.832741239241763,0.8906011207335711,0.0,0.0,0.0,17.723342359975334,19.807223101053705,5.3020350162211445,25.109258117274848,0.3,4.1223154677319895,0.2,4.6223154677319895,0.2,735.4545942032871
41,46,1950,320.26977882104006,11.220947531986642,0.0,0.0,10.864692386804146,5.498272724875399,2.19535349806176,7.693626222937159,3.1,16.445897391946414,1.0938200469396904,0.6731626275678384,0.0,1.049378972073523,19.262259038527464,20.397668837847103,5.102713536035442,25.500382373882545,0.3,3.763719311199599,0.2,4.2637193111996,0.2,744.1391313520214
42,47,1951,322.8165155567152,10.75598460635314,0.0,0.0,9.702696921970094,5.146253410851205,2.099982500145832,7.246235910997037,3.3,16.591290905909116,1.3359388671761068,0.7960100332497229,0.0,1.1910789632308614,19.914318769565806,18.8026210892687,4.802737754963153,23.60535884423185,0.3,4.289246663685209,0.2,4.789246663685209,0.1,718.8032692320156
43,48,1952,323.36033194807527,10.15499046163135,0.0,0.0,8.626731399008627,5.351886540005352,2.249066605502249,7.600953145507601,3.4,16.993338812645742,1.5396804159180395,0.98004510875798,0.0,1.3565885546083578,20.86965289193012,18.20915682301821,4.702014603004701,22.91117142602291,0.5,4.769078838385769,0.1,5.369078838385769,0.2,701.3010181327013
44,49,1953,318.4552773599929,9.88359601117276,0.0,0.0,8.598376837025663,5.08883527089274,2.3313383260740137,7.4201735969667535,3.6,17.06345063140413,1.8249302791965656,1.1686397392911978,0.0,1.3571021213925365,21.41412277128443,17.66051452386175,4.800551499388964,22.461066023250712,0.2,4.2599630244727855,0.2,4.659963024472786,0.2,691.7369097233103
45,50,1954,311.6328708644611,8.581320890521457,0.6018713856692562,0.0930728946911221,9.089173661101908,5.499073224501358,2.3708210430381,7.869894267539458,3.8,16.538444248757628,2.2173981316698588,1.262508390243302,0.0,1.1580198410010425,21.17637061167183,16.922120068230385,4.9017494811904605,21.823869549420845,0.2,4.96356940963477,0.2,5.363569409634771,0.2,702.9884661095751
46,51,1955,312.0055018623561,8.39277454536602,0.614699223409694,0.10346422572242374,9.305702616850702,5.354711843896536,2.492815005294206,7.847526849190743,3.9,17.113069127212224,2.455498411738012,1.356466495235214,0.0,2.01897806685826,22.94401210104371,16.40901527756769,4.701255483285434,21.110270760853123,0.2,5.735289668733928,0.2,6.135289668733928,0.2,713.241567085161
47,52,1956,312.5530465135739,8.266290509605154,0.6335696269111687,0.11356436708785099,8.976287146075698,5.415495092764875,2.5442721182254298,7.959767210990305,4.4,17.15599419810844,2.7566950618531574,1.2740739860065031,0.0,1.9655298684468647,23.152293114414967,16.002758276315085,4.500032695085631,20.502790971400717,0.3,5.596804203993556,0.2,6.096804203993556,0.2,708.9959041974545
48,53,1957,309.2016833850832,7.976709651290418,0.6632584183928015,0.12326041403760028,8.530191389235961,5.102934479255462,2.533951446220676,7.636885925476138,4.5,17.09321613321345,2.920714761142964,1.2860796151196328,0.0,1.9890724803531192,23.289082989829165,15.460606980627531,4.600815068253208,20.061422048880743,0.2,5.345142870488225,0.3,5.845142870488225,0.3,691.430106145708
49,54,1958,302.8559889222248,7.742903300253866,0.7154396492037849,0.1500115393491807,8.42995044245755,5.461091873826383,2.612825239317565,8.073917113143947,4.6,16.982143780040314,3.031061036746085,1.2771719468706393,0.0,2.105946330846841,23.39632309450388,14.85003531620928,4.197747802068439,19.04778311827772,0.3,5.609511832365727,0.3,6.209511832365727,0.3,686.1968175214338
50,55,1959,296.5981995473342,7.48770484828889,0.7771330031936197,0.21555513957195288,8.030586255386197,5.1843025192999495,2.8067520175294933,7.991054536829443,4.7,17.762106588808006,3.4108644457370687,1.3687914024159529,0.0,2.375137937460828,24.916900374421854,14.366956001197243,4.602621517679149,18.969577518876395,0.3,6.214990427676721,0.4,6.914990427676721,0.3,672.1804001739395
51,56,1960,291.84515971307763,7.389751026508648,0.8556553820167908,0.24447296629051166,7.654797947650702,5.385479684066619,2.905834361906449,8.291314045973067,4.7,17.374033464142006,3.602296439384296,1.347476905535476,0.0,2.3783529177344427,24.70215972679622,13.804096949704158,4.499892069009415,18.303989018713573,0.3,6.268161464761915,0.4,6.9681614647619154,0.3,658.0801567490079
52,57,1961,284.6080702981551,7.087741540613798,0.8907493223747487,0.26777126868934165,7.5180602206967135,5.623574372179366,2.847172697628082,8.470747069807448,4.6,17.078569445427377,4.002060525556505,1.3118007959018134,0.0,2.337840177254193,24.73027094413989,13.326728037846165,4.801541719518104,18.12826975736427,0.3,6.323918972622502,0.4,7.023918972622502,0.3,645.6494874544752
53,58,1962,283.2196629183242,6.761012213962352,0.9420200138880666,0.2476166893648632,7.531977398706966,6.014860242953178,3.0449559875199688,9.059816230473146,4.6,16.993459777632438,4.538646281186675,1.307540554739517,0.0,2.4120479473351253,25.25169456089376,12.522917582476492,4.497743087199391,17.020660669675884,0.3,6.185029323783893,0.4,6.885029323783893,0.4,647.2943850582723
54,59,1963,284.4182233941523,6.361316405193041,0.9762153615975976,0.26527591347760804,7.096733283309202,6.087443590746241,3.0648587522854336,9.152302343031677,4.6,17.063793978080977,4.835427653480729,1.33701820948838,0.0,2.395451326872468,25.631691167922558,11.683452933281195,4.798089219095127,16.48154215237632,0.3,5.879672588537429,0.4,6.579672588537429,0.4,638.5844579955824
55,60,1964,284.33460115830724,6.032196127466111,0.8998592661961589,0.2772822157464908,7.1030647926665935,6.144177102387317,3.2310346085497343,9.375211710937052,4.7,17.324304676140894,5.105811172083861,1.3760455263199036,0.0,2.459338471720624,26.26549984626528,11.402425360494869,4.799649797539202,16.20207515803407,0.3,5.962592957386822,0.4,6.662592957386822,0.5,638.8537123024248
