,Unnamed: ,Year,US Population,Beef,Veal,Pork,Lamb,Total,Chicken,Turkey,Total.,Total_Availability
64,69,1973,211.909,108.8125476501706,1.819624069765796,63.47755187840064,2.660727430170498,176.77045102850755,39.74648551972781,8.405339084229553,48.151824603957365,224.9222756324649
65,70,1974,213.854,115.6848997914465,2.3937312418752983,68.55408829855882,2.2849747912126963,188.91769412309333,39.62428610173296,8.668292199350958,48.29257830108392,237.21027242417725
66,71,1975,215.973,119.13365448458836,4.15688072583147,55.7123483027971,2.022729693063485,181.0256132062804,38.82938571025082,8.253661152088455,47.08304686233927,228.10866006861968
67,72,1976,218.035,127.1968573852822,3.956387735913959,58.52735340656317,1.8240924622193688,191.5046909899787,41.90302456027702,8.880757676519824,50.78378223679684,242.28847322677555
68,73,1977,220.239,123.70971535468288,3.835389735696221,60.46717202675277,1.6815550379360609,189.69383215506792,42.71032396623668,8.741085838566285,51.45140980480296,241.14524195987087
69,74,1978,222.585,117.73865498573578,2.926827504099557,60.21384639575892,1.543032998629737,182.422361884224,44.81272340903474,8.710142194667204,53.522865603701945,235.94522748792596
70,75,1979,225.055,105.33406820554974,2.0252484948123795,68.68440381240141,1.4791850880895785,177.52290560085308,48.285402945946544,9.232329874919465,57.51773282086601,235.04063842171908
71,76,1980,227.726,103.25223119011444,1.8405223821610175,73.26397293238365,1.5296277104941902,179.8863542151533,48.42517165365396,10.233947990128488,58.65911964378245,238.5454738589357
72,77,1981,229.966,104.2637092439752,1.9587634693824305,69.82901820269083,1.575341572232417,177.62683248828088,50.39324265326179,10.558132071697557,60.951374724959344,238.57820721324023
73,78,1982,232.188,103.87327148689856,2.00220209485417,62.56987441211432,1.6545342567230004,170.09988225059007,51.49174841077058,10.555674729098833,62.047423139869416,232.14730539045948
74,79,1983,234.307,106.11782942891166,1.983600443008532,65.951143158335,1.6544960244465596,175.70706905470175,52.61064330130982,11.003038748308844,63.61368204961866,239.3207511043204
75,80,1984,236.348,105.78233511601536,2.1479433124037435,65.5076455057796,1.6826713151793118,175.12059524937803,54.493619577910536,11.01782541168108,65.51144498959161,240.63204023896964
76,81,1985,238.466,106.81808542936936,2.23299352108896,65.97717703991344,1.6218161079566895,176.65007209832842,56.32195767950148,11.56726325765518,67.88922093715667,244.5392930354851
77,82,1986,240.651,107.77240161063116,2.283176666625112,62.34356183851303,1.5627213059575895,173.9618614217269,58.11527082787937,12.867553427993236,70.9828242558726,244.94468567759947
78,83,1987,242.804,103.80378066259206,1.848449778422102,62.70320029735918,1.483565975025123,169.83899671339847,61.93521540007578,14.72883889886493,76.66405429894071,246.5030510123392
79,84,1988,245.021,102.79858118283738,1.6721709567751335,67.02629110566033,1.5740286220364788,173.0710718673093,63.80488429354912,15.669596550972368,79.4744808445215,252.5455527118308
80,85,1989,247.342,97.66676428925416,1.4413524593477856,66.39363420039943,1.5607381910330635,167.06248914003444,66.8879247645265,16.550634344349117,83.43855910887562,250.50104824891008
81,86,1990,250.132,95.79493065977243,1.3010090672125116,63.61578865609918,1.5863384982357316,162.29806688131984,70.35251123367188,17.434562870804218,87.78707410447609,250.08514098579596
82,87,1991,253.493,94.8579536968662,1.2024592395056275,64.14856798704659,1.5640183541009025,161.77299927751932,73.27653910831054,17.766896916285656,91.0434360245962,252.8164353021155
83,88,1992,256.894,94.14654130752488,1.2124339221624485,67.40798767106044,1.508272887518198,164.27523578826597,76.41321167118838,17.72096662436647,94.13417829555485,258.4094140838208
84,89,1993,260.255,92.00516531709285,1.097919348331444,66.52522462304279,1.4600437003488886,161.08835298881596,78.27974803995619,17.53929391724194,95.81904195719812,256.90739494601405
85,90,1994,263.436,95.16616369137095,1.1038202827252162,67.20138557904006,1.3135875650993032,164.78495711823555,79.65488192018442,17.600654813183464,97.25553673336788,262.04049385160346
86,91,1995,266.557,95.54193299031724,1.1959693423920583,66.34536698642317,1.2966546325982808,164.37992395173077,79.27477003822221,17.592944780512237,96.86771481873446,261.24763877046524
87,92,1996,269.667,95.69076088917076,1.4003752776572589,62.02770117849052,1.231714313509254,160.35055165882778,80.38408983155968,18.14891847065047,98.53300830221016,258.8835599610379
88,93,1997,272.912,93.6162898472768,1.22110790291376,61.35840166500557,1.217537327445477,157.4133367426416,83.10605871854413,17.23929192063999,100.34535063918412,257.7586873818257
89,94,1998,276.115,95.01117692555638,0.9583362004961702,66.1980276909983,1.301783217608605,163.46932403465945,83.77194225589389,17.622080759377432,101.39402301527132,264.8633470499308
90,95,1999,279.295,96.16136772946167,0.8424210959737912,67.58085029842998,1.281711500593279,165.8663506244587,88.9943153593695,17.50283578471759,106.49715114408708,272.3635017685458
