,Unnamed: ,Year,"U.S. total population, July ",Butter,Margarine,Lard,Edible tallow,Shortening,Salad and cooking oils ,Other edible fats and oils,Total
56,61,1966,196.56,5.753968253968254,10.607448107448109,5.34900284900285,0.0,15.964590964590965,12.732000407000406,2.4,52.80701058201058
57,62,1967,198.712,5.520552357180241,10.527799025725674,5.203007367446356,0.0,15.93461894601232,12.66622045976086,2.4,52.252198156125445
58,63,1968,200.706,5.844369376102359,10.672326686795612,5.392962841170668,0.0,16.265084252588363,13.50109114824669,2.4,54.07583430490369
59,64,1969,202.677,5.639515090513477,10.69188906486676,4.869486917607819,0.0,17.036960286564337,14.24243007346665,2.3,54.78028143301904
60,65,1970,205.052,5.365702358426156,10.841152488149348,4.475186781889472,0.0,17.345843981038954,15.378094337046214,2.3,55.70597994655014
61,66,1971,207.661,5.14598311671426,10.912015255632978,4.052518287015857,0.0,16.802866209832374,15.608043879206976,2.3,54.821426748402445
62,67,1972,209.896,4.951437854937684,11.14361398025689,3.4524526432137828,0.0,17.61967831688074,16.82122098563098,2.3,56.28840378092007
63,68,1973,211.909,4.8072946406240415,11.108541874106338,3.2205097471084287,0.0,17.053074668843703,17.678923500181682,2.6,56.4683444308642
64,69,1974,213.854,4.460407567779887,11.129088069430546,3.020546728141629,0.0,16.93912669391267,18.058839208057837,1.7,55.30800826732256
65,70,1975,215.973,4.728192875961347,11.050043292448594,3.0323605265473,0.0,16.86712690938219,17.87171544591222,1.9817291976311853,55.53116824788283
66,71,1976,218.035,4.31320200885179,11.936615680968652,2.735803884697411,0.0,17.48500011466049,19.463677849886487,2.040956727130965,57.9752562661958
67,72,1977,220.239,4.294180413096682,11.361747919305843,2.327707626714615,0.0,16.458906006656406,19.12895536212932,1.9161002365611903,55.48759756446407
68,73,1978,222.585,4.354592627535547,11.264635981759776,2.180250241480782,0.0,17.1178201585911,20.049895545521935,2.0351775726127097,57.00237212750186
69,74,1979,225.055,4.491231032414299,11.182937504165649,2.2810068649885578,0.387905178734087,17.678967363533356,20.762684677078937,1.67514607540379,58.45987869631867
70,75,1980,227.726,4.467509199652214,11.307711899387863,2.342718881462811,1.0565328508822007,16.88631952434065,21.236099523111108,1.5061960426126133,58.80308792144946
71,76,1981,229.966,4.238243914317769,11.11922632041258,2.2207935086056203,0.9723176469565072,16.67079481314629,21.68277484497708,1.3915100493116372,58.29566109772748
72,77,1982,232.188,4.351327372646304,11.041298430582115,2.3090211380433097,1.3463701827829178,16.646329698347895,21.44798180784537,1.6107636914913777,58.75309232173928
73,78,1983,234.307,4.906797492179064,10.37750045879978,1.7113615897092274,2.1382417085277003,16.404665673667456,23.58632904693415,1.5577852987746843,60.682681268592056
